TRANS_DATE,STORE_ID,SKU,PRODUCT_DESC,UNITS_SOLD,UNIT_PRICE,NET_SALES,PROMO_IND
2015-11-23,CA_1,FOODS_3_252,Sparkling Water 12-Pack,15,1.58,23.7,0
2015-11-23,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,33,1.43,47.19,1
2015-11-23,CA_1,HOBBIES_1_048,Craft Paint Set,8,0.48,3.84,0
2015-11-23,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,26,0.48,12.48,0
2015-11-23,CA_1,HOUSEHOLD_1_334,Gift Wrap Assortment,19,0.97,18.43,0
2015-11-23,CA_1,HOUSEHOLD_1_447,Paper Towels 6-Roll,20,0.97,19.4,0
2015-11-23,TX_2,FOODS_3_252,Sparkling Water 12-Pack,49,1.58,77.42,0
2015-11-23,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,68,1.68,114.24,0
2015-11-23,TX_2,HOUSEHOLD_1_334,Gift Wrap Assortment,12,0.96,11.52,0
2015-11-23,TX_2,HOUSEHOLD_1_447,Paper Towels 6-Roll,18,0.96,17.28,0
2015-11-24,CA_1,FOODS_3_252,Sparkling Water 12-Pack,29,1.58,45.82,0
2015-11-24,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,40,1.43,57.2,1
2015-11-24,CA_1,HOBBIES_1_048,Craft Paint Set,7,0.48,3.36,0
2015-11-24,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,7,0.48,3.36,0
2015-11-24,CA_1,HOUSEHOLD_1_334,Gift Wrap Assortment,5,0.97,4.85,0
2015-11-24,CA_1,HOUSEHOLD_1_447,Paper Towels 6-Roll,1,0.97,0.97,0
2015-11-24,TX_2,FOODS_3_252,Sparkling Water 12-Pack,37,1.58,58.46,0
2015-11-24,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,91,1.68,152.88,0
2015-11-24,TX_2,HOUSEHOLD_1_334,Gift Wrap Assortment,8,0.96,7.68,0
2015-11-24,TX_2,HOUSEHOLD_1_447,Paper Towels 6-Roll,19,0.96,18.24,0
2015-11-25,CA_1,FOODS_3_252,Sparkling Water 12-Pack,38,1.58,60.04,0
2015-11-25,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,46,1.43,65.78,1
2015-11-25,CA_1,HOBBIES_1_048,Craft Paint Set,22,0.48,10.56,0
2015-11-25,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,9,0.48,4.32,0
2015-11-25,CA_1,HOUSEHOLD_1_334,Gift Wrap Assortment,10,0.97,9.7,0
2015-11-25,CA_1,HOUSEHOLD_1_447,Paper Towels 6-Roll,16,0.97,15.52,0
2015-11-25,TX_2,FOODS_3_252,Sparkling Water 12-Pack,71,1.58,112.18,0
2015-11-25,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,115,1.68,193.2,0
2015-11-25,TX_2,HOUSEHOLD_1_334,Gift Wrap Assortment,19,0.96,18.24,0
2015-11-25,TX_2,HOUSEHOLD_1_447,Paper Towels 6-Roll,22,0.96,21.12,0
2015-11-26,CA_1,FOODS_3_252,Sparkling Water 12-Pack,63,1.58,99.54,0
2015-11-26,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,67,1.43,95.81,1
2015-11-26,CA_1,HOBBIES_1_048,Craft Paint Set,4,0.48,1.92,0
2015-11-26,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,10,0.48,4.8,0
2015-11-26,CA_1,HOUSEHOLD_1_334,Gift Wrap Assortment,3,0.97,2.91,0
2015-11-26,CA_1,HOUSEHOLD_1_447,Paper Towels 6-Roll,1,0.97,0.97,0
2015-11-26,TX_2,FOODS_3_252,Sparkling Water 12-Pack,102,1.58,161.16,0
2015-11-26,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,129,1.68,216.72,0
2015-11-26,TX_2,HOUSEHOLD_1_334,Gift Wrap Assortment,8,0.96,7.68,0
2015-11-26,TX_2,HOUSEHOLD_1_447,Paper Towels 6-Roll,19,0.96,18.24,0
2015-11-27,CA_1,FOODS_3_252,Sparkling Water 12-Pack,35,1.58,55.3,0
2015-11-27,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,68,1.43,97.24,1
2015-11-27,CA_1,HOBBIES_1_048,Craft Paint Set,4,0.48,1.92,0
2015-11-27,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,8,0.48,3.84,0
2015-11-27,CA_1,HOUSEHOLD_1_334,Gift Wrap Assortment,7,0.97,6.79,0
2015-11-27,CA_1,HOUSEHOLD_1_447,Paper Towels 6-Roll,4,0.97,3.88,0
2015-11-27,TX_2,FOODS_3_252,Sparkling Water 12-Pack,61,1.58,96.38,0
2015-11-27,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,120,1.68,201.6,0
2015-11-27,TX_2,HOUSEHOLD_1_334,Gift Wrap Assortment,10,0.96,9.6,0
2015-11-27,TX_2,HOUSEHOLD_1_447,Paper Towels 6-Roll,32,0.96,30.72,0
2015-11-28,CA_1,FOODS_3_252,Sparkling Water 12-Pack,33,1.58,52.14,0
2015-11-28,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,47,1.43,67.21,1
2015-11-28,CA_1,HOBBIES_1_048,Craft Paint Set,36,0.48,17.28,0
2015-11-28,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,19,0.48,9.12,0
2015-11-28,CA_1,HOUSEHOLD_1_334,Gift Wrap Assortment,13,0.97,12.61,0
2015-11-28,CA_1,HOUSEHOLD_1_447,Paper Towels 6-Roll,7,0.97,6.79,0
2015-11-28,TX_2,FOODS_3_252,Sparkling Water 12-Pack,44,1.58,69.52,0
2015-11-28,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,109,1.68,183.12,0
2015-11-28,TX_2,HOUSEHOLD_1_334,Gift Wrap Assortment,1,0.96,0.96,0
2015-11-28,TX_2,HOUSEHOLD_1_447,Paper Towels 6-Roll,17,0.96,16.32,0
2015-11-29,CA_1,FOODS_3_252,Sparkling Water 12-Pack,51,1.58,80.58,0
2015-11-29,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,54,1.43,77.22,1
2015-11-29,CA_1,HOBBIES_1_048,Craft Paint Set,18,0.48,8.64,0
2015-11-29,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,5,0.48,2.4,0
2015-11-29,CA_1,HOUSEHOLD_1_334,Gift Wrap Assortment,21,0.97,20.37,0
2015-11-29,CA_1,HOUSEHOLD_1_447,Paper Towels 6-Roll,7,0.97,6.79,0
2015-11-29,TX_2,FOODS_3_252,Sparkling Water 12-Pack,60,1.58,94.8,0
2015-11-29,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,102,1.68,171.36,0
