SNAPSHOT_DATE,STORE_ID,SKU,ON_HAND_UNITS,IN_TRANSIT_UNITS,SAFETY_STOCK_UNITS,STATUS
2015-10-19,CA_1,FOODS_3_252,357,0,238,OK
2015-10-19,CA_1,FOODS_3_586,419,0,280,OK
2015-10-19,CA_1,HOBBIES_1_048,154,0,103,OK
2015-10-19,CA_1,HOBBIES_1_268,149,0,99,OK
2015-10-19,CA_1,HOUSEHOLD_1_334,116,0,77,OK
2015-10-19,CA_1,HOUSEHOLD_1_447,92,0,61,OK
2015-10-19,TX_2,FOODS_3_252,548,0,365,OK
2015-10-19,TX_2,FOODS_3_586,1008,0,672,OK
2015-10-19,TX_2,HOUSEHOLD_1_334,166,0,111,OK
2015-10-19,TX_2,HOUSEHOLD_1_447,227,0,151,OK
2015-10-26,CA_1,FOODS_3_252,357,0,238,OK
2015-10-26,CA_1,FOODS_3_586,419,0,280,OK
2015-10-26,CA_1,HOBBIES_1_048,154,0,103,OK
2015-10-26,CA_1,HOBBIES_1_268,149,0,99,OK
2015-10-26,CA_1,HOUSEHOLD_1_334,116,0,77,OK
2015-10-26,CA_1,HOUSEHOLD_1_447,92,0,61,OK
2015-10-26,TX_2,FOODS_3_252,548,0,365,OK
2015-10-26,TX_2,FOODS_3_586,1008,0,672,OK
2015-10-26,TX_2,HOUSEHOLD_1_334,166,0,111,OK
2015-10-26,TX_2,HOUSEHOLD_1_447,227,0,151,OK
2015-11-02,CA_1,FOODS_3_252,357,0,238,OK
2015-11-02,CA_1,FOODS_3_586,419,0,280,OK
2015-11-02,CA_1,HOBBIES_1_048,154,0,103,OK
2015-11-02,CA_1,HOBBIES_1_268,149,0,99,OK
2015-11-02,CA_1,HOUSEHOLD_1_334,116,0,77,OK
2015-11-02,CA_1,HOUSEHOLD_1_447,92,0,61,OK
2015-11-02,TX_2,FOODS_3_252,548,0,365,OK
2015-11-02,TX_2,FOODS_3_586,1008,0,672,OK
2015-11-02,TX_2,HOUSEHOLD_1_334,166,0,111,OK
2015-11-02,TX_2,HOUSEHOLD_1_447,227,0,151,OK
2015-11-09,CA_1,FOODS_3_252,357,0,238,OK
2015-11-09,CA_1,FOODS_3_586,419,0,280,OK
2015-11-09,CA_1,HOBBIES_1_048,154,0,103,OK
2015-11-09,CA_1,HOBBIES_1_268,149,0,99,OK
2015-11-09,CA_1,HOUSEHOLD_1_334,116,0,77,OK
2015-11-09,CA_1,HOUSEHOLD_1_447,92,0,61,OK
2015-11-09,TX_2,FOODS_3_252,548,0,365,OK
2015-11-09,TX_2,FOODS_3_586,1008,0,672,OK
2015-11-09,TX_2,HOUSEHOLD_1_334,166,0,111,OK
2015-11-09,TX_2,HOUSEHOLD_1_447,227,0,151,OK
2015-11-16,CA_1,FOODS_3_252,357,0,238,OK
2015-11-16,CA_1,FOODS_3_586,419,0,280,OK
2015-11-16,CA_1,HOBBIES_1_048,154,0,103,OK
2015-11-16,CA_1,HOBBIES_1_268,149,0,99,OK
2015-11-16,CA_1,HOUSEHOLD_1_334,116,0,77,OK
2015-11-16,CA_1,HOUSEHOLD_1_447,92,0,61,OK
2015-11-16,TX_2,FOODS_3_252,548,0,365,OK
2015-11-16,TX_2,FOODS_3_586,1008,0,672,OK
2015-11-16,TX_2,HOUSEHOLD_1_334,166,0,111,OK
2015-11-16,TX_2,HOUSEHOLD_1_447,227,0,151,OK
2015-11-23,CA_1,FOODS_3_252,357,0,238,OK
2015-11-23,CA_1,FOODS_3_586,419,0,280,OK
2015-11-23,CA_1,HOBBIES_1_048,154,0,103,OK
2015-11-23,CA_1,HOBBIES_1_268,149,0,99,OK
2015-11-23,CA_1,HOUSEHOLD_1_334,116,0,77,OK
2015-11-23,CA_1,HOUSEHOLD_1_447,92,0,61,OK
2015-11-23,TX_2,FOODS_3_252,548,0,365,OK
2015-11-23,TX_2,FOODS_3_586,1008,0,672,OK
2015-11-23,TX_2,HOUSEHOLD_1_334,166,0,111,OK
2015-11-23,TX_2,HOUSEHOLD_1_447,227,0,151,OK
2015-11-30,CA_1,FOODS_3_252,357,0,238,OK
2015-11-30,CA_1,FOODS_3_586,419,0,280,OK
2015-11-30,CA_1,HOBBIES_1_048,154,0,103,OK
2015-11-30,CA_1,HOBBIES_1_268,149,0,99,OK
2015-11-30,CA_1,HOUSEHOLD_1_334,116,0,77,OK
2015-11-30,CA_1,HOUSEHOLD_1_447,92,0,61,OK
2015-11-30,TX_2,FOODS_3_252,548,0,365,OK
2015-11-30,TX_2,FOODS_3_586,1008,0,672,OK
2015-11-30,TX_2,HOUSEHOLD_1_334,166,0,111,OK
2015-11-30,TX_2,HOUSEHOLD_1_447,227,0,151,OK
2015-12-07,CA_1,FOODS_3_252,357,0,238,OK
2015-12-07,CA_1,FOODS_3_586,419,0,280,OK
2015-12-07,CA_1,HOBBIES_1_048,154,0,103,OK
2015-12-07,CA_1,HOBBIES_1_268,149,0,99,OK
2015-12-07,CA_1,HOUSEHOLD_1_334,116,0,77,OK
2015-12-07,CA_1,HOUSEHOLD_1_447,92,0,61,OK
2015-12-07,TX_2,FOODS_3_252,548,0,365,OK
2015-12-07,TX_2,FOODS_3_586,1008,0,672,OK
2015-12-07,TX_2,HOUSEHOLD_1_334,166,0,111,OK
2015-12-07,TX_2,HOUSEHOLD_1_447,86,350,151,BELOW_SAFETY_STOCK
2015-12-14,CA_1,FOODS_3_252,357,0,238,OK
2015-12-14,CA_1,FOODS_3_586,419,0,280,OK
2015-12-14,CA_1,HOBBIES_1_048,28,101,103,BELOW_SAFETY_STOCK
2015-12-14,CA_1,HOBBIES_1_268,149,0,99,OK
2015-12-14,CA_1,HOUSEHOLD_1_334,116,0,77,OK
2015-12-14,CA_1,HOUSEHOLD_1_447,92,0,61,OK
2015-12-14,TX_2,FOODS_3_252,548,0,365,OK
2015-12-14,TX_2,FOODS_3_586,1008,0,672,OK
2015-12-14,TX_2,HOUSEHOLD_1_334,166,0,111,OK
2015-12-14,TX_2,HOUSEHOLD_1_447,0,350,151,BELOW_SAFETY_STOCK
2015-12-21,CA_1,FOODS_3_252,357,0,238,OK
2015-12-21,CA_1,FOODS_3_586,419,0,280,OK
2015-12-21,CA_1,HOBBIES_1_048,154,0,103,OK
2015-12-21,CA_1,HOBBIES_1_268,149,0,99,OK
2015-12-21,CA_1,HOUSEHOLD_1_334,116,0,77,OK
2015-12-21,CA_1,HOUSEHOLD_1_447,92,0,61,OK
2015-12-21,TX_2,FOODS_3_252,548,0,365,OK
2015-12-21,TX_2,FOODS_3_586,1008,0,672,OK
2015-12-21,TX_2,HOUSEHOLD_1_334,166,0,111,OK
2015-12-21,TX_2,HOUSEHOLD_1_447,227,0,151,OK
2015-12-28,CA_1,FOODS_3_252,357,0,238,OK
2015-12-28,CA_1,FOODS_3_586,419,0,280,OK
2015-12-28,CA_1,HOBBIES_1_048,154,0,103,OK
2015-12-28,CA_1,HOBBIES_1_268,149,0,99,OK
2015-12-28,CA_1,HOUSEHOLD_1_334,116,0,77,OK
2015-12-28,CA_1,HOUSEHOLD_1_447,92,0,61,OK
2015-12-28,TX_2,FOODS_3_252,548,0,365,OK
2015-12-28,TX_2,FOODS_3_586,1008,0,672,OK
2015-12-28,TX_2,HOUSEHOLD_1_334,166,0,111,OK
2015-12-28,TX_2,HOUSEHOLD_1_447,227,0,151,OK
