TRANS_DATE,STORE_ID,SKU,PRODUCT_DESC,UNITS_SOLD,UNIT_PRICE,NET_SALES,PROMO_IND
2015-11-02,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,20,1.68,33.6,0
2015-11-02,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,73,1.68,122.64,0
2015-11-03,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,29,1.68,48.72,0
2015-11-03,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,76,1.68,127.68,0
2015-11-04,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,28,1.68,47.04,0
2015-11-04,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,79,1.68,132.72,0
2015-11-05,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,31,1.68,52.08,0
2015-11-05,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,95,1.68,159.6,0
2015-11-06,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,41,1.68,68.88,0
2015-11-06,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,95,1.68,159.6,0
2015-11-07,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,55,1.68,92.4,0
2015-11-07,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,105,1.68,176.4,0
2015-11-08,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,46,1.68,77.28,0
2015-11-08,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,108,1.68,181.44,0
