TRANS_DATE,STORE_ID,SKU,PRODUCT_DESC,UNITS_SOLD,UNIT_PRICE,NET_SALES,PROMO_IND
2015-12-28,CA_1,FOODS_3_252,Sparkling Water 12-Pack,36,1.58,56.88,0
2015-12-28,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,35,1.68,58.8,0
2015-12-28,CA_1,HOBBIES_1_048,Craft Paint Set,13,0.48,6.24,0
2015-12-28,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,3,0.48,1.44,0
2015-12-28,CA_1,HOUSEHOLD_1_334,Gift Wrap Assortment,13,0.97,12.61,0
2015-12-28,CA_1,HOUSEHOLD_1_447,Paper Towels 6-Roll,11,0.97,10.67,0
2015-12-28,TX_2,FOODS_3_252,Sparkling Water 12-Pack,41,1.58,64.78,0
2015-12-28,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,62,1.68,104.16,0
2015-12-28,TX_2,HOUSEHOLD_1_334,Gift Wrap Assortment,28,0.96,26.88,0
2015-12-28,TX_2,HOUSEHOLD_1_447,Paper Towels 6-Roll,33,0.96,31.68,0
2015-12-29,CA_1,FOODS_3_252,Sparkling Water 12-Pack,28,1.58,44.24,0
2015-12-29,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,28,1.68,47.04,0
2015-12-29,CA_1,HOBBIES_1_048,Craft Paint Set,7,0.48,3.36,0
2015-12-29,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,63,0.48,30.24,0
2015-12-29,CA_1,HOUSEHOLD_1_334,Gift Wrap Assortment,14,0.97,13.58,0
2015-12-29,CA_1,HOUSEHOLD_1_447,Paper Towels 6-Roll,9,0.97,8.73,0
2015-12-29,TX_2,FOODS_3_252,Sparkling Water 12-Pack,38,1.58,60.04,0
2015-12-29,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,60,1.68,100.8,0
2015-12-29,TX_2,HOUSEHOLD_1_334,Gift Wrap Assortment,37,0.96,35.52,0
2015-12-29,TX_2,HOUSEHOLD_1_447,Paper Towels 6-Roll,24,0.96,23.04,0
2015-12-30,CA_1,FOODS_3_252,Sparkling Water 12-Pack,23,1.58,36.34,0
2015-12-30,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,34,1.68,57.12,0
2015-12-30,CA_1,HOBBIES_1_048,Craft Paint Set,8,0.48,3.84,0
2015-12-30,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,3,0.48,1.44,0
