TRANS_DATE,STORE_ID,SKU,PRODUCT_DESC,UNITS_SOLD,UNIT_PRICE,NET_SALES,PROMO_IND
2015-10-19,CA_1,FOODS_3_252,Sparkling Water 12-Pack,17,1.58,26.86,0
2015-10-19,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,32,1.68,53.76,0
2015-10-19,CA_1,HOBBIES_1_048,Craft Paint Set,4,0.48,1.92,0
2015-10-19,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,32,0.48,15.36,0
2015-10-19,CA_1,HOUSEHOLD_1_334,Gift Wrap Assortment,10,0.97,9.7,0
2015-10-19,CA_1,HOUSEHOLD_1_447,Paper Towels 6-Roll,4,0.97,3.88,0
2015-10-19,TX_2,FOODS_3_252,Sparkling Water 12-Pack,39,1.58,61.62,0
2015-10-19,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,71,1.68,119.28,0
2015-10-19,TX_2,HOUSEHOLD_1_334,Gift Wrap Assortment,9,0.96,8.64,0
2015-10-19,TX_2,HOUSEHOLD_1_447,Paper Towels 6-Roll,18,0.96,17.28,0
2015-10-20,CA_1,FOODS_3_252,Sparkling Water 12-Pack,31,1.58,48.98,0
2015-10-20,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,34,1.68,57.12,0
2015-10-20,CA_1,HOBBIES_1_048,Craft Paint Set,18,0.48,8.64,0
2015-10-20,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,8,0.48,3.84,0
2015-10-20,CA_1,HOUSEHOLD_1_334,Gift Wrap Assortment,7,0.97,6.79,0
2015-10-20,CA_1,HOUSEHOLD_1_447,Paper Towels 6-Roll,4,0.97,3.88,0
2015-10-20,TX_2,FOODS_3_252,Sparkling Water 12-Pack,44,1.58,69.52,0
2015-10-20,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,75,1.68,126.0,0
2015-10-20,TX_2,HOUSEHOLD_1_334,Gift Wrap Assortment,14,0.96,13.44,0
2015-10-20,TX_2,HOUSEHOLD_1_447,Paper Towels 6-Roll,16,0.96,15.36,0
2015-10-21,CA_1,FOODS_3_252,Sparkling Water 12-Pack,25,1.58,39.5,0
2015-10-21,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,34,1.68,57.12,0
2015-10-21,CA_1,HOBBIES_1_048,Craft Paint Set,22,0.48,10.56,0
2015-10-21,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,3,0.48,1.44,0
2015-10-21,CA_1,HOUSEHOLD_1_334,Gift Wrap Assortment,12,0.97,11.64,0
2015-10-21,CA_1,HOUSEHOLD_1_447,Paper Towels 6-Roll,13,0.97,12.61,0
2015-10-21,TX_2,FOODS_3_252,Sparkling Water 12-Pack,36,1.58,56.88,0
2015-10-21,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,69,1.68,115.92,0
2015-10-21,TX_2,HOUSEHOLD_1_334,Gift Wrap Assortment,8,0.96,7.68,0
2015-10-21,TX_2,HOUSEHOLD_1_447,Paper Towels 6-Roll,9,0.96,8.64,0
2015-10-22,CA_1,FOODS_3_252,Sparkling Water 12-Pack,18,1.58,28.44,0
2015-10-22,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,28,1.68,47.04,0
2015-10-22,CA_1,HOBBIES_1_048,Craft Paint Set,7,0.48,3.36,0
2015-10-22,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,6,0.48,2.88,0
2015-10-22,CA_1,HOUSEHOLD_1_334,Gift Wrap Assortment,7,0.97,6.79,0
2015-10-22,CA_1,HOUSEHOLD_1_447,Paper Towels 6-Roll,7,0.97,6.79,0
2015-10-22,TX_2,FOODS_3_252,Sparkling Water 12-Pack,39,1.58,61.62,0
2015-10-22,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,79,1.68,132.72,0
2015-10-22,TX_2,HOUSEHOLD_1_334,Gift Wrap Assortment,6,0.96,5.76,0
2015-10-22,TX_2,HOUSEHOLD_1_447,Paper Towels 6-Roll,22,0.96,21.12,0
2015-10-23,CA_1,FOODS_3_252,Sparkling Water 12-Pack,29,1.58,45.82,0
2015-10-23,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,27,1.68,45.36,0
2015-10-23,CA_1,HOBBIES_1_048,Craft Paint Set,42,0.48,20.16,0
2015-10-23,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,13,0.48,6.24,0
2015-10-23,CA_1,HOUSEHOLD_1_334,Gift Wrap Assortment,16,0.97,15.52,0
2015-10-23,CA_1,HOUSEHOLD_1_447,Paper Towels 6-Roll,2,0.97,1.94,0
2015-10-23,TX_2,FOODS_3_252,Sparkling Water 12-Pack,54,1.58,85.32,0
2015-10-23,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,113,1.68,189.84,0
2015-10-23,TX_2,HOUSEHOLD_1_334,Gift Wrap Assortment,18,0.96,17.28,0
2015-10-23,TX_2,HOUSEHOLD_1_447,Paper Towels 6-Roll,25,0.96,24.0,0
2015-10-24,CA_1,FOODS_3_252,Sparkling Water 12-Pack,51,1.58,80.58,0
2015-10-24,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,49,1.68,82.32,0
