TRANS_DATE,STORE_ID,SKU,PRODUCT_DESC,UNITS_SOLD,UNIT_PRICE,NET_SALES,PROMO_IND
2015-12-21,CA_1,FOODS_3_252,Sparkling Water 12-Pack,41,1.58,64.78,0
2015-12-21,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,42,1.68,70.56,0
2015-12-21,CA_1,HOBBIES_1_048,Craft Paint Set,56,0.48,26.88,0
2015-12-21,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,69,0.48,33.12,0
2015-12-21,CA_1,HOUSEHOLD_1_334,Gift Wrap Assortment,9,0.97,8.73,0
2015-12-21,CA_1,HOUSEHOLD_1_447,Paper Towels 6-Roll,13,0.97,12.61,0
2015-12-21,TX_2,FOODS_3_252,Sparkling Water 12-Pack,61,1.58,96.38,0
2015-12-21,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,113,1.68,189.84,0
2015-12-21,TX_2,HOUSEHOLD_1_334,Gift Wrap Assortment,25,0.96,24.0,0
2015-12-21,TX_2,HOUSEHOLD_1_447,Paper Towels 6-Roll,26,0.96,24.96,0
2015-12-22,CA_1,FOODS_3_252,Sparkling Water 12-Pack,34,1.58,53.72,0
2015-12-22,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,36,1.68,60.48,0
2015-12-22,CA_1,HOBBIES_1_048,Craft Paint Set,25,0.48,12.0,0
2015-12-22,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,7,0.48,3.36,0
2015-12-22,CA_1,HOUSEHOLD_1_334,Gift Wrap Assortment,10,0.97,9.7,0
2015-12-22,CA_1,HOUSEHOLD_1_447,Paper Towels 6-Roll,17,0.97,16.49,0
2015-12-22,TX_2,FOODS_3_252,Sparkling Water 12-Pack,54,1.58,85.32,0
2015-12-22,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,105,1.68,176.4,0
2015-12-22,TX_2,HOUSEHOLD_1_334,Gift Wrap Assortment,34,0.96,32.64,0
2015-12-22,TX_2,HOUSEHOLD_1_447,Paper Towels 6-Roll,30,0.96,28.8,0
2015-12-23,CA_1,FOODS_3_252,Sparkling Water 12-Pack,50,1.58,79.0,0
2015-12-23,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,51,1.68,85.68,0
2015-12-23,CA_1,HOBBIES_1_048,Craft Paint Set,0,0.48,0.0,0
2015-12-23,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,0,0.48,0.0,0
2015-12-23,CA_1,HOUSEHOLD_1_334,Gift Wrap Assortment,12,0.97,11.64,0
2015-12-23,CA_1,HOUSEHOLD_1_447,Paper Towels 6-Roll,11,0.97,10.67,0
2015-12-23,TX_2,FOODS_3_252,Sparkling Water 12-Pack,91,1.58,143.78,0
2015-12-23,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,138,1.68,231.84,0
2015-12-23,TX_2,HOUSEHOLD_1_334,Gift Wrap Assortment,35,0.96,33.6,0
2015-12-23,TX_2,HOUSEHOLD_1_447,Paper Towels 6-Roll,35,0.96,33.6,0
2015-12-24,CA_1,FOODS_3_252,Sparkling Water 12-Pack,46,1.58,72.68,0
2015-12-24,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,56,1.68,94.08,0
2015-12-24,CA_1,HOBBIES_1_048,Craft Paint Set,8,0.48,3.84,0
2015-12-24,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,6,0.48,2.88,0
2015-12-24,CA_1,HOUSEHOLD_1_334,Gift Wrap Assortment,8,0.97,7.76,0
2015-12-24,CA_1,HOUSEHOLD_1_447,Paper Towels 6-Roll,9,0.97,8.73,0
2015-12-24,TX_2,FOODS_3_252,Sparkling Water 12-Pack,92,1.58,145.36,0
2015-12-24,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,190,1.68,319.2,0
2015-12-24,TX_2,HOUSEHOLD_1_334,Gift Wrap Assortment,32,0.96,30.72,0
2015-12-24,TX_2,HOUSEHOLD_1_447,Paper Towels 6-Roll,36,0.96,34.56,0
2015-12-25,CA_1,FOODS_3_252,Sparkling Water 12-Pack,0,1.58,0.0,0
